prompt,completion,
土雞、薑、蔥、水,"鹽水雞簡易作法
 食材：土雞，薑，蔥，水
 調味料：鹽，米酒
 作法：1.將土雞洗淨取出雞脂肪剁去雞腳；薑去皮後先取50公克切片，另50公克切碎；2根蔥切段備用。2.備一鍋，放入水、薑片、蔥2根煮至滾沸時，將作法1的雞從頸提起雞放入滾水中，上下拉提六次使其內部充分受熱，再把整隻雞泡入滾水中開大火至水滾後再轉極微火，煮15分鐘後熄火，再燜30分鐘。3.將雞泡熟後用筷子撈出，將作法1的薑碎、蔥段與所有調味料調勻，再用手搓爛，趁熱塗雞身內外，再用電風扇吹涼即可剁盤。",
雞翅、檸檬片,"鹽烤雞翅
 食材：雞翅，檸檬片
 調味料：鹽，米酒，山椒粉
 作法：1.雞翅於關節處切下但不要切斷。2.以刀延著雞翅骨頭兩側劃開。3.再用竹籤穿過骨頭讓2支成一串。4.取一烤爐，將作法1的雞翅串放上烤架，烤至上色熟透。5.以手沾鹽輕輕撒上作法4的烤好的雞翅串上即可。",
土雞腿、蔥、薑、八角、花椒粉、沙薑粉,"鹽焗雞
 食材：土雞腿，蔥，薑，八角，花椒粉，沙薑粉
 調味料：鹽，雞精粉，細糖，白胡椒粉，料酒，水
 作法：1.土雞腿洗淨後，在雞腿內側的骨頭兩側部位，用刀劃深約1公分的切痕備用，以便醃漬入味。2.蔥、薑及八角拍破一起放入容器中，再加入所有調味料及花椒粉、沙薑粉。3.用手抓至蔥、薑的味道滲出後，入作法1的土雞腿，用作法2的香料水搓揉至雞腿入味後，再醃漬約20分鐘。4.將作法3的雞腿連同醃汁一起放入蒸鍋中，蒸約20分鐘至熟後起鍋，取出雞腿，過濾去除掉蔥、薑及香料渣，留下乾淨的醃汁作為淋汁。5.將作法4的雞腿切塊後再澆淋上淋汁即可。",
大雞腿、老薑、青蔥,"鹽焗雞腿
 食材：大雞腿，老薑，青蔥
 調味料：米酒，鹽，香油
 作法：1.雞腿洗淨備用；老薑切絲；青蔥切段備用。2.將作法1的大雞腿依序淋上米酒、抹上鹽、鋪上作法1的薑絲和青蔥段。3.將作法2的容器蓋上保鮮膜，放入電鍋中，外鍋加2杯水，蒸至開關跳起。4.將作法3蒸好的雞腿取出，再抹上香油即可。",
雞胸肉、新鮮九層塔、地瓜粉,"鹽酥炸雞塊
 食材：雞胸肉，新鮮九層塔，地瓜粉
 調味料：鹽，黑胡椒粒
 醃料：蒜末，辣椒片，細砂糖，醬油
 作法：1.將雞胸肉切成小塊狀，再加入醃料所有材料拌勻，醃漬15分鐘備用。2.將作法1醃好的雞胸肉塊沾地瓜粉備用。3.再將作法2沾粉的雞塊放入油溫約190℃的油鍋中，炸成金黃撈起備用。4.最後將新鮮的九層葉炸成翠綠色裝飾，將作法3的炸雞塊撒上調味料即可。",
帶骨雞胸肉、九層塔、胡椒鹽,"鹽酥雞
 食材：帶骨雞胸肉，九層塔，胡椒鹽
 調味料：A.五香粉，糖，醬油膏，小蘇打，米酒，B.地瓜粉
 醃料：蔥，薑，蒜仁，水
 作法：1.將雞胸肉先去皮，接著清洗乾淨，可依個人喜好選擇是否要將雞胸肉內的軟骨去除，再分切成小塊狀。2.將蔥、薑、蒜仁一起放入果汁機中，加入水打成汁，再用濾網將渣渣過濾掉，續加入所有的調味料A，拌勻後成醃汁。3.將作法1的雞肉塊放入作法2的醃汁中拌勻，靜置醃漬約2小時，讓雞肉充分入味。4.將醃好的雞肉塊取出，放入地瓜粉中裏粉，以抓拌及滾動的方式讓雞肉塊均勻沾裹粉、沾緊。5.將作法4沾過粉的雞肉塊靜置約30秒，使粉回潮。6.熱一鍋油至180℃，放入作法5的雞肉塊，入鍋時稍微翻動以避免雞肉互相沾黏，以中火油炸約2分鐘，至表面金黃後起鍋，以稍微搖動漏杓的方式快速瀝乾油份，另可依喜好加入九層塔快速略炸，再撈起瀝乾油份。7.食用時可以喜好撒上胡椒鹽即可。",
雞胸肉、胡椒鹽、蔥末、薑末、蒜末、五香粉、糖、味精、醬油膏、小蘇打、水、料理米酒、九層塔、地瓜粉、辣椒粉,"鹽酥雞
 食材：雞胸肉，胡椒鹽，蔥末，薑末，蒜末，五香粉，糖，味精，醬油膏，小蘇打，水，料理米酒，九層塔，地瓜粉，辣椒粉
 作法：1.雞胸肉去皮、去骨，在平均切成約拇指大小的雞肉塊；九層塔洗淨候瀝乾、剪掉粗梗，備用。2.所有材料B一起放入果汁機中，打約30秒混合製成醃汁。3.作法1雞肉塊放入作法2的醃汁中醃漬約30分鐘備用。4.將作法3的雞肉塊放入地瓜粉中均勻沾裹上粉，再倒入粗孔篩子上輕輕搖晃，篩掉多餘地瓜粉。5.熱油鍋，帶油溫熱至150℃，放入作法4的雞肉塊，炸約2分鐘至表面呈金黃酥脆狀，即可放入作法1的九層塔，數約2秒即可撈起瀝油。6.食用前撒上適量的胡椒鹽、辣椒粉即可。",
豬絞肉、洋蔥末、蔥花、薑末,"洋蔥煎肉餅
 食材：豬絞肉，洋蔥末，蔥花，薑末
 調味料：A.鹽，細砂糖，黑胡椒粉，米酒，太白粉，B.番茄醬
 作法：1.豬絞肉放入鋼盆中，加入鹽攪拌至有黏性。2.作法1中加入洋蔥末、蔥花及薑末拌勻，再加入細糖、黑胡椒、米酒及太白粉攪拌至勻。3.將作法2拌好的豬絞肉分成8份，並整形成圓餅形。4.平底鍋中倒入2大匙沙拉油，將作法3的肉餅排入鍋中，蓋上鍋蓋，以小火至兩面微焦香。5.作法4煎熟後取出裝盤，沾番茄醬食用即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2665
豬皮、紅蔥頭、豬油、胛心絞肉、高湯,"肉燥飯
 食材：豬皮，紅蔥頭，豬油，胛心絞肉，高湯
 調味料：醬油，冰糖，米酒
 作法：1.豬皮洗淨、切大片，放入沸水中汆燙約5分鐘，再撈出沖冷水，備用。2.紅蔥頭洗淨、切除頭尾後，切末備用。3.熱鍋，加入豬油，再放入作法2的紅蔥末爆香，用小火炒至呈金黃色微焦後，取出20公克的紅蔥酥備用，其餘續加入絞碎的胛心肉拌炒，炒至肉色變白水分減少，再加入所有調味料炒香後熄火。4.取一砂鍋，倒入作法3的材料，再加入高湯煮滾，煮滾後加入作法1的豬皮，轉小火並蓋上鍋蓋，續煮約1小時後再加入先前取出的20公克紅蔥酥，煮約10分鐘即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1316
豬腿肉、洋蔥、青椒,"黑椒豬柳
 食材：豬腿肉，洋蔥，青椒
 調味料：A.細黑胡椒粒，醬油，蠔油，米酒，細砂糖，水，B.太白粉水，香油
 醃料：鹽，太白粉
 作法：1.豬腿肉洗淨切粗條，放入大碗中，加入所有醃料拌勻並醃10分鐘，放入熱油鍋中以中小火油炸至變色且熟透，撈出瀝乾油分備用。2.洋蔥洗淨，去皮切條；青椒洗淨，去蒂及籽後切條；備用。3.熱鍋倒入適量油燒熱，放入洋蔥條與青椒條以中火炒出香味，加入所有調味料A及作法1豬腿肉條拌炒均勻，最後加入調勻的太白粉水勾芡，淋上香油即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1612
豬肉片、青椒、蔥、薑、太白粉水,"醬爆肉片
 食材：豬肉片，青椒，蔥，薑，太白粉水
 調味料：甜麵醬，醬油，米酒，香油，糖
 作法：1.青椒、薑切片；蔥切段，備用。2.熱鍋，倒入稍多的油，待油溫約60℃，放入豬肉片過油，取出瀝油備用。3.作法2鍋中留少許油，放入作法1的薑片、蔥段爆香，再放入青椒炒勻。4.加入作法2的豬肉片與所有材料炒勻，以太白粉水勾芡即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1949
五花肉、薑末、蒜末、紅糟醬、蛋黃、地瓜粉、小黃瓜片,"紅糟肉
 食材：五花肉，薑末，蒜末，紅糟醬，蛋黃，地瓜粉，小黃瓜片
 調味料：醬油，鹽，米酒，糖，胡椒粉，五香粉
 作法：1.五花肉洗淨、瀝乾水分，與薑末、蒜末、所有調味料拌勻，再用紅糟醬抹勻五花肉表面，即為紅糟肉。2.將作法1的紅糟肉封上保鮮膜，放入冰箱中，冷藏約24小時，待入味備用。3.取出作法2的紅糟肉，撕去保鮮膜，用手將肉表面多餘的紅糟醬刮除，再與蛋黃拌勻，接著均勻沾裹上地瓜粉，放置約5分鐘，待吸收汁液備用。4.熱油鍋，待油溫燒熱至約150℃時，放入作法3的紅糟肉，用小火慢慢炸，炸至快熟時，轉大火略炸逼出油份，再撈起瀝乾油。5.待涼後，將作法4的紅糟肉切片，食用時搭配小黃瓜片增味即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1237
粉絲、豬絞肉、蔥末、薑末、蒜末、蔥花,"螞蟻上樹
 食材：粉絲，豬絞肉，蔥末，薑末，蒜末，蔥花
 調味料：A.辣豆瓣醬，香油，B.醬油膏，醋，糖，水，酒，太白粉水
 作法：1.粉絲泡水至軟備用。2.熱鍋，加少許油，以大火爆香蔥末、薑末、蒜片，加入豬絞肉及辣豆瓣醬炒香。3.入所有調味料煮至沸騰，再加入作法1的粉絲拌炒均勻。4.起鍋前加入少許香油及蔥花即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1452
豬肉排、蒜泥、蒜仁、地瓜粉,"台式炸排骨
 食材：豬肉排，蒜泥，蒜仁，地瓜粉
 調味料：醬油，五香粉，料酒，水，蛋白
 作法：1.豬肉排用刀背或肉槌拍鬆(厚約?公分)後，加入所有調味料拌勻醃漬30分鐘。2.在作法1中加入地瓜粉，與豬肉排拌勻成稠狀，備用。3.熱油鍋，待油溫燒熱至約180℃時，放入作法2的豬肉排以中火炸約5分鐘至表皮成金黃時，撈出瀝乾油即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1916
豬梅花肉,"港式叉燒肉
 食材：豬梅花肉
 調味料：紅蔥頭末，鹽，糖，香油，淡色醬油，酒，芝麻醬，蠔油，甜麵醬
 作法：1.所有刷料以小火煮勻備用。2.將梅花肉切成每塊5公分寬的長條狀，與所有醃料拌勻，冷藏2小時至入味備用。3.將烤箱預熱到220℃～250℃，再將作法2的梅花肉放入烤箱，烤至兩面皆熟取出，將作法1的刷料均勻刷在梅花肉上，放回烤箱內續烤3～5分鐘，即可取出掛起，待涼切片食用。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-199
豬肋排,"糖醋小排
 食材：豬肋排
 調味料：醬油，砂糖，鎮江醋
 作法：1.豬肋排切成2公分長的塊狀，放入熱油裡以中火炸至呈金黃色時撈起。2.炸後之肋排加入醃料配料與水燜煮，待醬汁快乾時再加入鎮江醋，至醬汁完全收乾後即可起鍋。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2677
豬絞肉、罐頭花瓜、蒜末、高湯,"瓜仔肉
 食材：豬絞肉，罐頭花瓜，蒜末，高湯
 調味料：醬油，米酒，冰糖，雞粉，胡椒粉
 作法：1.罐頭花瓜取出花瓜切成丁，湯汁保留備用。2.熱一鍋，放入兩大匙油，加入蒜末爆香後，加入豬絞肉炒散。3.再加入所有調味料炒至入味後，盛入砂鍋內。4.於作法3的砂鍋內倒入高湯、作法1的花瓜湯汁煮至沸騰，轉小火再煮15分鐘。5.最後加入作法1的花瓜丁以小火續煮15分鐘即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-0957
白飯、豬肉絲、香菇、蝦米、紅蔥頭片、油蔥酥、高湯,"台式鹹粥
 食材：白飯，豬肉絲，香菇，蝦米，紅蔥頭片，油蔥酥，高湯
 調味料：鹽，鮮雞粉，細砂糖，料理米酒
 醃料：鹽，太白粉，料理米酒
 作法：1.豬肉絲洗淨瀝乾水份，放入大碗中，加入所有醃料拌勻醃約1分鐘，再放入熱油鍋快炒至變色，立即盛出瀝乾油備用。2.香菇洗淨泡軟後切絲；蝦米洗淨泡入加了少許料理米酒的水中浸泡至軟，撈出瀝乾水份；備用。3.熱鍋倒入少許油燒熱，放入紅蔥頭片小火爆香，再放入作法2炒出香氣，加入作法1拌炒均勻，倒入高湯改中火煮至滾開，再加入白飯改小火拌煮至略濃稠，最後以所有調味料調味，再撒上油蔥酥即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2009
豬梅花肉片、韓式泡菜、洋蔥,"韓式泡菜燒肉
 食材：豬梅花肉片，韓式泡菜，洋蔥
 調味料：醬油，糖
 作法：1.洋蔥切絲；泡菜切小塊備用。2.取一鍋，倒入少許沙拉油燒熱，放入洋蔥炒香。3.再放入韓式泡菜，炒香後放入梅花肉片拌炒至肉色變白。4.續加入醬油、糖，炒至乾香即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2506
油麵、韭菜、洋蔥、紅蘿蔔、豬肉絲、油蔥酥、蝦米,"台式炒麵
 食材：油麵，韭菜，洋蔥，紅蘿蔔，豬肉絲，油蔥酥，蝦米
 調味料：醬油，雞粉，白胡椒粉，黑醋，水，糖
 作法：1.韭菜洗淨切段；洋蔥、紅蘿蔔洗淨切絲備用。2.取鍋，加入適量油燒熱，放入油蔥酥、蝦米、洋蔥絲和紅蘿蔔絲炒香。3.續加入豬肉絲、油麵和調味料拌炒均勻，加鍋蓋燜煮至水份略收乾即可盛盤。4.加入豬肉絲和調味料燜煮至水略收乾，再放入韭菜段略拌炒均勻即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1985
豬里肌肉、青蔥、薑、中筋麵粉、泡打粉、太白粉、沙拉油、水,"糖醋里肌
 食材：豬里肌肉，青蔥，薑，中筋麵粉，泡打粉，太白粉，沙拉油，水
 調味料：蕃茄醬，白醋，細砂糖，米酒
 作法：1.豬里肌肉洗淨切條；青蔥洗淨切小段；薑洗淨去皮切片；前述材料放入大碗中，拌勻醃約5分鐘備用。2.麵糊材料放入大碗中充分攪拌均勻備用。3.鍋中倒入適量油燒熱，分別取作法1醃好的豬里肌肉條均勻沾裹作法2麵糊，放入鍋中以中小火油炸至呈金黃色，撈出瀝乾油分備用。4.將所有調味料放入鍋中以中小火煮勻，放入作法3豬里肌肉條拌炒至醬汁略收乾即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1601
豬絞肉、洋蔥丁、蒜末、辣椒末、九層塔、沙拉油,"打拋豬肉
 食材：豬絞肉，洋蔥丁，蒜末，辣椒末，九層塔，沙拉油
 調味料：魚露，泰國甜醬油，糖
 醃料：醬油，米酒，胡椒粉，香油，太白粉
 作法：1.豬絞肉加入所有醃料醃漬約10分鐘，備用。2.九層塔摘去老枝、洗淨，備用。3.鍋燒熱加入沙拉油，放入作法1的豬絞肉炒至肉色變白，再加入洋蔥末、蒜末、辣椒末炒約3分鐘，續加入所有調味料再炒1分鐘，最後加入作法2的九層塔炒勻即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2876
豬腳、薑片、蔥段、花椒粒、白胡椒粒、蔥末、薑絲、水、醬油、糖、開水、辣椒末、蒜末,"清燉豬腳
 食材：豬腳，薑片，蔥段，花椒粒，白胡椒粒，蔥末，薑絲，水，醬油，糖，開水，辣椒末，蒜末
 調味料：米酒，鹽
 作法：1.把豬腳去毛後洗淨，放入滾水中汆燙約5分鐘，撈出泡冰水至涼，備用。2.取一砂鍋，把作法1的豬腳、水、米酒、薑片、蔥段、花椒粒、白胡椒粒放入一起煮至滾沸，轉小火煮約1小時又10分鐘，關火後燜約10分鐘。3.將作法2的豬腳取出，去骨、切小塊，放入已加入少許鹽與作法2湯汁的碗中，最後放上蔥末與薑絲即可。4.把沾醬材料全部混合均勻，作法3的豬腳肉可搭配食用。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-1389
豬小排、蔥、薑、青江菜、紅麴米,"無錫排骨
 食材：豬小排，蔥，薑，青江菜，紅麴米
 調味料：A.醬油，細糖，紹興酒，肉桂，八角，水，B.太白粉水，香油
 作法：1.豬小排剁成長約8公分的小塊，用開水汆燙後洗淨瀝乾備用。2.青江菜洗淨後對半切。蔥切小段，薑拍鬆備用。3.熱鍋下沙拉油，小火爆香作法2的蔥段和薑。加入所有調味料A、紅麴米和作法1的豬小排。4.作法3煮滾後關小火蓋上鍋蓋，小火煮約30分鐘至水收乾。5.將作法2的青江菜燙熟後舖在盤底，並將作法4的豬小排塊排放至盤中。6.將作法4鍋中剩餘的湯汁煮開，用太白粉水勾芡，灑上香油後淋至作法5上即可。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-2549
瘦肉、肥肉、荸薺、薑末、蔥末、雞蛋、大白菜、蔥、薑,"紅燒獅子頭
 食材：瘦肉，肥肉，荸薺，薑末，蔥末，雞蛋，大白菜，蔥，薑
 調味料：A.鹽，水，雞精粉，細砂糖，醬油，料理酒，白胡椒粉，香油，B.水，醬油，細砂糖
 作法：1.將荸薺拍碎，切成粒狀備用，大白菜切成塊狀同樣洗淨備用。2.將瘦肉剁成肉末，肥豬肉切成粒狀備用3.將作法2剁好的肉末放入鋼盆中，加入鹽以同一方向攪拌後，將肉拿起往盆中摔，重覆數次直至肉有黏性為止。4.在作法3摔好的肉中加入雞精粉、細砂糖及雞蛋，拌勻後將100cc的水分2次加入，一面加水一面攪拌至水分被肉吸收。5.於作法4拌好的肉中加入荸薺、薑末、蔥末及其他調味料A，拌勻後將肉餡分成數等份，用手掌捏成圓球形即成獅子頭。6.熱鍋下約100㏄沙拉油，將作法5中作好的獅子頭下鍋，以中火煎至表面成形且略焦黃即可。7.取一燉鍋，將材料B的蔥、薑拍破後放入鍋中墊底，再依序放入煎好的獅子頭及調味料B，待燒滾後，轉小火煮約30分鐘，再加入作法1中處理好的大白菜，再煮約15分鐘至大白菜軟爛後即完成。",https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=A02-711
